zinc_id,smiles
ZINC000245189325,O=P(=O)O
ZINC000029747110,COc1cccc2c1[C@@H]1CN(CCCCn3c(O)nc4c(sc5ncc(-c6ccccc6)nc54)c3=O)C[C@@H]1CO2
ZINC000005161047,Cc1ccc2c(n1)Oc1ccc([C@@H](C)C(=O)OCC(=O)N(C)C)cc1C2
ZINC000002040470,Cc1ccc2c(C)ccc(C(C)C)c2c1
ZINC000002242633,CC1=C[C@H]2[C@H](CC1)C2(C)C
ZINC000005781270,Cc1ccc(C)c2occc12
ZINC000002019914,CCN(CC)CCOC[C@H](O)COc1ccccc1OC
ZINC000100076763,CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@@]2(CC=C(C)C)C(=O)[C@]1(C(=O)C(C)C)C(=O)C(CC=C(C)C)=C2O
ZINC000008214547,C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC=C5C[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)CC[C@]5(C)[C@H]4CC[C@@]32C)O[C@]12CC[C@@H](C)CO2
ZINC000008214560,CCCCCCCC/C=C\CCCCCCCC(=O)OCC
ZINC000000001451,COc1cc(O)cc(O)c1
ZINC000000388212,COc1cc(O)cc(OC)c1
ZINC000001649227,O[C@@H](CCl)CN1CC[N+]2(CC1)CC[N+]1(CCN(C[C@@H](O)CCl)CC1)CC2
ZINC000001649225,O[C@H](CCl)CN1CC[N+]2(CC1)CC[N+]1(CCN(C[C@@H](O)CCl)CC1)CC2
ZINC000033955170,CCCCC[C@@](C)(O)/C=C/[C@H]1CCC(=O)[C@@H]1CCCCCCC(=O)O
ZINC000033966691,CN(C)C[C@@H]1CCCC[C@H]1c1cccc(O)c1
ZINC000033990650,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@@H]2CC[C@@H]3[C@@H](C)COCc2cccc(C(C)(C)O)c2)C[C@@H](O)C[C@@H]1O
ZINC000001481894,C[C@@H](c1ccccc1)C(C)(C)N
ZINC000001490292,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCn1ccnn1
ZINC000001534825,O=C(O)Cc1ccc(OCCNC[C@H](O)c2ccccc2)cc1
ZINC000001547156,Cc1cccc(C)c1CNc1cc(C(=O)NCCO)cn2c(C)c(C)nc12
ZINC000001548562,CCCCOC(=O)C(=O)Nc1cccc(-c2nnn[nH]2)c1
ZINC000001571611,CC(=O)CCCC(C)=O
ZINC000023118509,C#CC1(OC[C@@H](O)CN2CCN(c3ccccc3OC)CC2)CCCCC1
ZINC000203389115,NCCC[C@H](N)CC(=O)N[C@@H]1CNC(=O)[C@H]([C@H]2C[C@H](O)N=C(N)N2)NC(=O)/C(=C/NC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC1=O
ZINC000030731563,NC1CCN(C(=O)O)CC1
ZINC000032152198,CC1=CC[C@H]([C@@H](C)C=O)CC1
ZINC000034165724,OC[C@@H]1O[C@@H](OCCc2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@@H]1O
ZINC000100377964,C[C@]12O[C@@H](C[C@@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O
ZINC000000000165,C[C@H](C(=O)O)c1ccc(C(=O)c2cccs2)c(Cl)c1
ZINC000000000207,O[C@H](Cn1ccnc1)c1ccc(CCc2ccccc2)cc1
ZINC000000000238,OC[C@H]1CO[C@H](CI)O1
ZINC000000000302,CCNC1=NC(=O)[C@@H](c2ccccc2)O1
ZINC000000000427,C[C@@H]1C[C@@H](c2ccc(Cl)cc2)[C@H](c2ccccc2)C(=O)O1
ZINC000000000436,C/N=C(\S)[C@@]1(c2cccc(C)n2)CCCS1
ZINC000000000495,COc1cc([C@H](O)CNC(C)C)ccc1O
ZINC000000000547,O=[N+]([O-])c1cccc([C@@H]2CN3CCSC3=N2)c1
ZINC000000000608,CC(C)N[C@@H](C)C(=O)c1ccc(O)c(O)c1
ZINC000000000671,C[C@@H](CN1C(=O)c2cccnc2Nc2ccccc21)N(C)C
ZINC000000000778,O=[S@](Cc1ccccn1)c1nc2ccccc2[nH]1
ZINC000000000824,CC(C)(C)C(=O)[C@H](Cn1ccnc1)Oc1ccc(Cl)cc1Cl
ZINC000000000845,C[C@H](C(=O)O)c1ccc([C@H]2CCC/C(=N/O)C2)cc1
ZINC000000000916,CCOc1cc(OCC)cc(OCCN(CC)CC)c1
ZINC000000000965,CCOC(=O)N1CCC(=O)N(c2ccccc2)c2cc(Cl)ccc21
ZINC000000001009,C[N+](C)([O-])CC/C=C1\c2ccccc2C=Cc2c(Cl)cccc21
ZINC000000001117,O=C(C(Cl)Cl)N(CCO)Cc1ccc(Cl)cc1Cl
ZINC000000001173,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2
ZINC000000001183,O=C(O)c1ccccc1Nc1cccc(Cl)c1Cl
ZINC000000001202,CN(C)CCOC(=O)c1ccc(Cl)c(N)c1
ZINC000000001256,Cc1c(CC(=O)O)c2ccccc2n1C(=O)c1ccccc1
ZINC000032266443,CCCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
ZINC000033604886,CC(C)(C)C(=O)[C@@H](Cn1ccnc1)Oc1ccc(Cl)cc1Cl
ZINC000033647139,CCN(CC)CC(CN(CC)CC)[C@H](c1ccccc1)C1CCCCC1
ZINC000033754376,C=CCCCCCCCCC(=O)NCCC[N+](C)(C)C
ZINC000033827951,C[C@@H](CN(C)C)O[C@@](C)(c1ccccc1)c1ccc(Cl)cc1
ZINC000033827955,C[C@@H](CN(C)C)O[C@](C)(c1ccccc1)c1ccc(Cl)cc1
ZINC000033842413,CC/C=C/C(=O)CCCC
ZINC000033852268,Cc1nnc(NS(=O)(=O)c2ccc(NC(=O)c3ccccc3C(=O)O)cc2)s1
ZINC000033858308,C[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1
ZINC000033872449,CCOc1ccccc1N1CCN(CCCOc2ccc3c(c2)CCC(O)=N3)CC1
ZINC000033903606,O=C1N([C@H](O)C(Cl)(Cl)Cl)CNC1(c1ccccc1)c1ccccc1
ZINC000033903721,CC[C@]1(O)CCN2CCc3ccc(C)cc3[C@@H]2C1
ZINC000033953223,COC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1C#C[C@@H](O)CCC1CCCCC1
ZINC000000000246,CN(C)CCO[C@](C)(c1ccccc1)c1ccc(Br)cc1
ZINC000000000378,CC[C@](Br)(C(N)=O)C(C)C
ZINC000000000982,CCN1CCc2nc(N)oc2CC1
ZINC000000001378,CCc1ccccc1-n1c(C)nc2ccccc2c1=O
ZINC000000001530,O=C(O)CC1(CO)CCCCC1
ZINC000000001845,CN1CCC(C(=O)N2c3ccccc3NC(=O)c3cccnc32)CC1
ZINC000000002170,Cc1cc(Br)c(O)c2ncccc12
ZINC000000004725,CCN1CCN=C1CNC(=O)c1cc(Cl)c(N)cc1OC
ZINC000000008849,O=C(Oc1ccc(Br)cc1)N1CCN2CCC1CC2
ZINC000000537888,C[C@H]1CN(C2CCC(C#N)(c3ccc(F)cc3)CC2)CC[C@@]1(C(=O)O)c1ccccc1
ZINC000022463231,CC(C)Cn1c(=O)n(C)c(=O)c2[nH]c(CCN3CCN(C(c4ccccc4)c4ccccc4)CC3)nc21
ZINC000026893148,O=C(O)CCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1
ZINC000034228435,Cc1ccccc1SCC[C@H](Oc1ccc(C(F)(F)F)cc1)C(=O)O
ZINC000000000319,C[C@H](C(=O)O)c1ccc2oc(-c3ccc(F)cc3)nc2c1
ZINC000000000387,CCc1ccc(C(=O)[C@H](C)CN2CCCC2)cc1
ZINC000000000551,Oc1ccc([C@H](O)CNC2CCC2)cc1O
ZINC000000000647,O=C(OCCN1CCCCC1)[C@H]1CC1(c1ccccc1)c1ccccc1
ZINC000000000770,Cc1csc2ccc3[nH]c4c(c3c12)CN(C)CC4
ZINC000000000826,C=CC[C@@]1(C(=O)NC(N)=O)C[C@@H](C)OC1=O
ZINC000000000952,COc1ccccc1C(C(=O)O)=C(c1ccccc1)c1ccccc1
ZINC000000001142,CC(=O)Nn1cnc(=O)c(C#N)c1
ZINC000022463356,Cc1nn(C)c2c1N(C(=O)CN1CCN(C)CC1)c1ccccc1NC2=O
ZINC000022860107,CC[C@@H](C(=O)O[C@@H](COCC(C)C)CN1CCN(C)CC1)c1ccccc1
ZINC000169292714,CC(C)C[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](C)NC(=O)CCCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
ZINC000027877188,C=CC[C@@H]1CN(C)CC[C@@]1(OC(=O)CC)c1ccccc1
ZINC000029333288,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CC[C@@H](N)C3)nc21
ZINC000030690591,C/C=C/[C@H]1[C@@H](C(=O)OCc2c(F)c(F)c(COC)c(F)c2F)C1(C)C
ZINC000030690901,CCCCC[C@](C)(O)/C=C/[C@H]1CCC(=O)[C@@H]1CCCCCCC(=O)O
ZINC000030691265,O=C1NC(=O)/C(=C\c2ccccc2)C2=C1CCCC2
ZINC000030691716,CC(=O)OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(Cl)cc32)CC1
ZINC000031297912,O=C1CCN=C2C[C@@H](c3ccccc3)CN12
ZINC000031425112,O=C(CCCN1CCN(c2cc3ccccc3cn2)CC1)c1ccc(F)cc1
ZINC000031490235,CC[C@@H](c1cc(F)c(OC(C)=O)c(OC(C)=O)c1)[C@@H](C)c1cc(F)c(OC(C)=O)c(OC(C)=O)c1
ZINC000031495045,Cc1ccc(C(=O)Oc2cc(OC(=O)c3ccc(C)cc3)cc([C@H](O)CNC(C)(C)C)c2)cc1
ZINC000031538745,COc1ccc2c(c1)[C@@]1(C)CCCC[C@H]1NC2
ZINC000031541373,Clc1ccc(C[C@H]2CC[C@H]3CCCCN3C2)cc1
ZINC000031570064,CCCN(CCC)C(=O)[C@H](Cc1ccc(OCCCN(CC)CC)cc1)NC(=O)c1ccccc1
ZINC000031601255,CCCC(=O)NCCc1ccc(S(=O)(=O)N2CCN([C@H]3CC=CCC3)C2=N)cc1
ZINC000252672791,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=NO)CC[C@]4(C)[C@H]3CC[C@@]21C
ZINC000015449307,CC[C@@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
ZINC000017192049,NC[C@H](Cl)[C@@H](O)c1c[nH]c(N)n1
ZINC000019167667,C[C@H](Cc1ccccc1)NN
ZINC000019367106,CO[C@@H](CN1CCN(CC[C@@H](O)c2ccccc2)CC1)c1ccccc1
ZINC000019368427,CC(C)CCOC(=O)[C@@H](NCCN1CCCC1)c1ccccc1
ZINC000022446639,CCCC(=O)c1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2
ZINC000022462965,CO[C@H](CN1CCN(CC[C@H](O)c2ccccc2)CC1)c1ccccc1
ZINC000022463090,C[C@H](C(=O)OCCN1CCN(CCOC(=O)[C@H](C)c2cccc3ccccc23)CC1)c1cccc2ccccc12
ZINC000022463208,OCCN1CCCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1
ZINC000034997457,COC(=O)N1CC2(CC2)C[C@H](C(=O)NO)[C@H]1C(=O)N1CCN(c2ccccc2)CC1
ZINC000000000012,O=C(C[S@@](=O)C(c1ccccc1)c1ccccc1)NO
ZINC000000004294,CN(CC(=O)NO)C(=O)[C@@H]1CCCC[C@@H]1C(=O)O
ZINC000011616858,c1ccc2c(c1)CCc1cccc3c1[C@H]2CN1CCCC[C@@H]31
ZINC000011677306,Cc1ccc2c(c1O)N[C@H](O)[C@H]1CC(/C=C/C(N)=O)=CN1C2=O
ZINC000013209374,CCCCC[C@H](/C=C/n1ccnc1)OCc1ccccc1
